retn_code,foodgrp_code,food_type,food_desc,cook_method_1,cook_method_2,cook_method_addon,cook_time,nutrient_num,nutrient_desc,retn_factor
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,421,"Choline, total",100
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,418,Vitamin B-12,60
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,318,"Vitamin A, IU",75
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,392,"Vitamin A, RE",75
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,221,"Alcohol, ethyl",100
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,321,"Carotene, beta",75
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,322,"Carotene, alpha",75
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,334,"Cryptoxanthin, beta",75
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,337,Lycopene,75
1351,10,PORK,FRESH CHOPS,BROWNED,SIMMERED,WO/DRIPPINGS,,338,Lutein + zeaxanthin,75
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,301,Calcium,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,303,Iron,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,304,Magnesium,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,305,Phosphorus,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,306,Potassium,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,307,Sodium,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,309,Zinc,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,312,Copper,100
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,401,"Vitamin C, total ascorbic acid",80
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,404,Thiamin,55
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,405,Riboflavin,90
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,406,Niacin,95
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,415,Vitamin B-6,65
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,417,"Folate, total",70
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,431,Folic acid,70
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,432,"Folate, food",70
1354,10,PORK,FRESH CHOPS,SIMMERED,,W/DRIPPINGS,,421,"Choline, total",100
